index,name,final_name
229,g023_o032,g023_p047
230,g021_o027,g025_p032
231,g050_o044,g056_p044
232,g048_o016,g054_p049
233,g014_o035,g020_p043
234,g025_o030,g049_p047
235,g017_o009,g021_p048
236,g015_o004,g016_p042
237,g051_o013,g060_p043
238,g006_o043,g006_p048
239,g056_o022,g060_p010
240,g023_o022,g025_p038
241,g025_o020,g060_p000
242,g047_o035,g060_p009
243,g003_o014,g006_p047
244,g020_o022,g022_p023
245,g051_o011,g060_p025
246,g021_o045,g022_p037
247,g042_o029,g049_p049
248,g055_o023,g060_p008
249,g002_o021,g010_p048
250,g046_o021,g048_p040
251,g005_o023,g009_p049
252,g001_o007,g003_p033
253,g012_o008,g015_p049
254,g046_o004,g060_p024
255,g021_o000,g022_p042
256,g034_o004,g046_p027
257,g025_o003,g049_p048
258,g058_o011,g060_p026
259,g001_o029,g007_p046
260,g001_o025,g004_p048
261,g000_p017,g003_p045
262,g025_o018,g044_p049
263,g008_o009,g008_p014
264,g021_o013,g025_p048
265,g008_o035,g010_p046
266,g008_o042,g009_p047
267,g005_o021,g008_p024
268,g003_o018,g005_p048
269,g008_o036,g008_p025
270,g002_o011,g008_p035
271,g003_o023,g004_p046
272,g002_o031,g008_p041
273,g004_o024,g005_p014
274,g005_o041,g007_p042
275,g000_p047,g003_p046
276,g005_o013,g005_p045
277,g003_o043,g003_p044
278,g002_o009,g005_p021
279,g001_o003,g002_p042
