index,name,generation,locomotion_fitness,manipulation_fitness,entered_population,final_name,genome,Final mean reward,tracking_lin_vel,tracking_ang_vel,lin_vel_z,ang_vel_xy,base_height,action_rate,torques,dof_vel,energy,similar_to_default,contact,contact_forces,feet_slide,swing_feet_z,orientation,dof_acc,undesired_contacts
755,g015_o004,15,129.11,116.52,1,g016_p042,"[0.4,0.3,0.4,0.2,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,2.0933333333,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.3,0.1,-0.0,-0.0,-1.0466666667,0.6,0.0,0.0,-1.0466666667,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.0]",129.109640732,1.33547341824,1.63584280014,-0.0056837014854,-0.00494427327067,-0.428482472897,-0.133080467582,-0.04525526613,-0.0272767581046,-0.00308637134731,0,1.61539721489,-0.00375335710123,-0.0422967150807,2.0950460434,-0.00829973071814,-0.0421394221485,
756,g015_o005,15,174.34,62.43,0,0,"[0.3,0.4,0.3,0.1,0.4,-0.0,1.57,-0.0,0.1,0.0,0.0,-1.57,-1.57,-1.57,0.5,0.0,0.1,1.57,-1.57,-0.0,0.3,0.0,0.0,-1.57,-0.0,1.0466666667,0.4,0.0,0.0,-0.0,-0.0,1.57,0.2,0.2,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.2,0.0]",174.344966583,3.87084627151,1.93950724602,-0.0447665564716,-0.0346820689738,-0.431914508343,-0.193241998553,-0.0530822090805,-0.040681283921,-0.0056680534035,0,1.33056640625,-0.0359448119998,-0.0312256421894,2.17768979073,-0.0234653167427,-0.0522663109004,
757,g015_o006,15,188.63,50.37,0,0,"[0.4,0.6,0.2,0.1,0.4,-0.0,-0.0,0.5233333333,0.1,0.0,0.1,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.3,0.2,0.2,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-1.0466666667,1.57,-0.0,0.1,0.0,0.0,-1.57,-1.0466666667,-0.0,0.0,0.3,0.2,-0.0,-0.0,0.5233333333,0.4,0.0,0.1]",188.632523193,3.89086389542,1.95942020416,-0.0336261279881,-0.0123864635825,-0.0975415632129,-0.205997869372,-0.0621703080833,-0.0401329547167,-0.00568717718124,0,1.54475915432,-0.0240519866347,-0.0791350007057,2.2589931488,-0.0370557829738,-0.0648826882243,
758,g015_o007,15,65.7,105.86,0,0,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,2.0933333333,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.7,0.0,0.1,-0.0,-0.0,-1.0466666667,0.6,0.0,0.0,-0.0,-0.0,1.57,0.7,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.2,0.0]",65.7021686435,1.28995883465,1.33011353016,-0.0264959912747,-0.00345006864518,-1.94470381737,-0.0992769598961,-0.0563670992851,-0.0116187781096,-0.00147201563232,0,1.12068688869,-1.21450311781e-05,-0.0120028993115,1.54575288296,-0.130581721663,-0.0160502251238,
759,g015_o008,15,186.68,107.99,0,0,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,-0.5233333333,0.1,0.0,0.1,1.57,2.0933333333,-3.14,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.6,0.3,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-1.0466666667,-0.0,-1.0466666667,0.6,0.0,0.0]",186.675708466,3.87894248962,1.96635508537,-0.0661170259118,-0.0196843668818,-0.0108544044197,-0.156827062368,-0.039928086102,-0.0464023947716,-0.00486438069493,0,1.18400073051,-0.0116388704628,-0.0287240874022,2.23304533958,-0.01420574449,-0.0583229921758,
760,g015_o009,15,93.74,65.99,0,0,"[0.3,0.4,0.4,0.1,0.4,-0.0,-0.0,2.6166666667,0.1,0.1,0.1,1.57,2.0933333333,1.57,0.1,0.0,0.1,1.57,-1.0466666667,-0.0,0.2,0.0,0.2,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,1.57,0.5233333333,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.2,0.0]",93.7355242538,1.25573706627,1.52877783775,-0.00251049455255,-0.00160946603864,-1.22328305244,-0.132083773613,-0.0407169349492,-0.020670350641,-0.00239904271439,0,1.32641601562,-6.8835224738e-06,-0.0200137719512,1.94349515438,-0.000635327596683,-0.0300266034901,
761,g015_o010,15,191.46,116.54,1,g033_p045,"[0.4,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.0,0.0,1.57,-1.0466666667,-0.0,0.3,0.0,0.0,-0.0,-0.0,-1.57,0.4,0.0,0.0,-0.0,-0.0,1.57,0.1,0.2,0.0,1.57,0.5233333333,-0.0,0.3,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.1]",191.464081421,3.94814634323,1.98160624504,-0.0426280647516,-0.018203202635,-0.00238949852064,-0.162354588509,-0.0515011101961,-0.041797876358,-0.00560513278469,0,1.29353845119,-0.0463174656034,-0.022547930479,2.29347705841,-0.0133213102818,-0.0625078901649,
762,g015_o011,15,177.28,56.55,0,0,"[0.7,0.4,0.4,0.1,0.4,-0.0,-0.0,1.57,0.4,0.0,0.0,1.57,2.0933333333,1.57,0.1,0.2,0.4,1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.4,0.0,1.57,0.5233333333,-0.0,0.3,0.0,0.0,-0.0,-0.0,-1.0466666667,0.4,0.0,0.1]",177.278325729,3.83591508865,1.9586648941,-0.0461804121733,-0.0337227657437,-0.0294910594821,-0.178661748767,-0.0754617601633,-0.041896160692,-0.0079296734184,0,1.29711914062,-0.046251963824,-0.0428967252374,2.07173395157,-0.0357016660273,-0.0761512219906,
763,g015_o012,15,172.58,57.14,0,0,"[0.3,0.9,0.3,0.1,0.4,-0.0,1.57,-0.0,0.1,0.0,0.0,-1.57,-1.57,-1.57,0.5,0.0,0.1,2.0933333333,-2.6166666667,-0.0,0.3,0.0,0.0,-1.57,-0.0,-1.57,0.4,0.0,0.0,-1.0466666667,1.57,-0.0,0.1,0.0,0.0,-1.57,-1.0466666667,-0.0,0.2,0.3,0.2,-0.0,-1.57,0.5233333333,0.4,0.0,0.1]",172.58120575,3.79883861542,1.85672855377,-0.0921434015036,-0.0448235832155,-0.240419387817,-0.174594938755,-0.0586968772113,-0.0401153825223,-0.00639173295349,0,1.81528735161,-0.0144233237952,-0.0259447004646,3.08389520645,-0.0489637069404,-0.0560139715672,
764,g015_o013,15,160.37,98.31,0,0,"[0.8,0.3,0.2,0.1,0.4,-0.0,-0.0,1.57,0.1,0.0,0.1,1.57,2.0933333333,1.57,0.1,0.0,0.1,-1.57,-1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.0466666667,0.6,0.0,0.0,-0.0,-0.0,1.57,0.1,0.2,0.0,1.57,0.5233333333,-2.6166666667,0.2,0.0,0.0,-1.0466666667,-0.0,-1.0466666667,0.4,0.0,0.0]",160.369464264,3.83569908142,1.91084170341,-0.0358310304582,-0.056350491941,-0.598535299301,-0.241150349379,-0.0785550177097,-0.0599894672632,-0.011655385606,0,1.44051110744,-0.00196617026813,-0.094836473465,1.89596784115,-0.11404594034,-0.100243292749,
